nfevs,energy,std
1,-5.12939453125,0.026056628318927685
2,-5.339599609375,0.026826493863889817
3,-5.0107421875,0.026852008206481127
4,-5.173828125,0.027268506303658308
5,-5.252197265625,0.028918938873800773
6,-5.658203125,0.02764117319583422
7,-5.271484375,0.026278341687781474
8,-4.7236328125,0.027007943492587737
9,-4.021728515625,0.02339552176944701
10,-3.660400390625,0.02283126612552248
11,-4.766845703125,0.023198928211511972
12,-5.437255859375,0.024288272977305465
13,-8.05322265625,0.027261992559859664
14,-8.701171875,0.02659515011589195
15,-4.36279296875,0.02444361299037621
16,-4.330322265625,0.024804937999574644
17,-4.447509765625,0.023803934606699488
18,-6.568115234375,0.024708911643143785
19,-7.893310546875,0.024535639883067055
20,-7.978271484375,0.025573094227485313
21,-8.40576171875,0.025322933643807485
22,-7.890625,0.02553546382350592
23,-8.1708984375,0.024051374332311092
24,-8.886474609375,0.02539743499201827
25,-7.610107421875,0.02585221596377402
26,-6.70751953125,0.026716840909615115
27,-14.359130859375,0.023345039621174766
28,-13.6826171875,0.024210393861915414
29,-15.9384765625,0.020936569682045783
30,-16.0927734375,0.02126433523365703
31,-15.438720703125,0.02239170812969989
32,-15.462158203125,0.022180929729467853
33,-15.081298828125,0.02290662586762293
34,-15.346435546875,0.022397293798409535
35,-14.85888671875,0.02292922314312982
36,-14.3642578125,0.02402662778427055
37,-16.6357421875,0.01978914788990521
38,-16.57470703125,0.020059365310032766
39,-16.427978515625,0.020185481935389948
40,-16.7978515625,0.020307973611835648
41,-15.313232421875,0.021920416824507502
42,-15.358642578125,0.021519425689033405
43,-15.533447265625,0.022029013596177694
44,-15.6259765625,0.02127633233666548
45,-15.106689453125,0.021345688539505563
46,-15.49267578125,0.0205722994836925
47,-16.2880859375,0.020609307891929492
48,-15.974853515625,0.02045958521727143
49,-16.087158203125,0.02245658650639964
50,-15.6669921875,0.023015928454107867
51,-13.470703125,0.02446298941860694
52,-14.0048828125,0.02471250159690697
53,-13.1240234375,0.02295213919177111
54,-13.40087890625,0.022646512811975196
55,-14.7861328125,0.02085961714748677
56,-15.3994140625,0.021471386744008163
57,-12.812744140625,0.023807270978981575
58,-12.441650390625,0.024686907520717317
59,-13.43115234375,0.021476947180444017
60,-13.225341796875,0.02195366255400183
61,-12.0830078125,0.021795543145863357
62,-12.677978515625,0.02092616075307608
63,-11.984619140625,0.021914606684579684
64,-11.896240234375,0.02222145856626477
65,-12.178466796875,0.02228495136253204
66,-11.891845703125,0.022405834656515685
67,-12.59423828125,0.020982471402245732
68,-11.2373046875,0.022658216405492572
69,-9.729736328125,0.02446613651608776
70,-9.23486328125,0.023950077573290467
71,-13.187744140625,0.02213334551836909
72,-13.706298828125,0.021599436336353132
73,-7.427001953125,0.024932595695728806
74,-5.624267578125,0.02536941458237774
75,-0.1005859375,0.02672602821897418
76,-0.242431640625,0.02626222001926345
77,-1.335693359375,0.024548707578831656
78,-1.0908203125,0.02604369898157533
79,-2.2333984375,0.024861881397617205
80,-1.8359375,0.02432287352324641
81,-3.219482421875,0.02455485687256139
82,-3.4970703125,0.024785974861421187
83,-3.908935546875,0.024322347553698245
84,-3.95166015625,0.024164504771107962
85,-3.981201171875,0.02414295039974579
86,-4.1201171875,0.024827103689153623
87,-3.74560546875,0.024114038122271923
88,-4.2958984375,0.023963546871343857
