Iteration,Score,Parameter Values
10,0.48990581103429426,"[1.62622606 1.5384706  1.59869619 1.60905587 1.55760366 1.56316847
 1.62179772 1.51893522 1.48776072 1.58957983 1.529172   1.61884599
 1.61410188 1.54008013 1.61420487 1.54124826 1.56653903 1.57656968
 1.54597475 1.57448964 1.55117051 1.52797152 1.65013545 1.51811794
 1.50939717 1.53997593 1.64744533 1.65527308 1.57048629 1.45850059
 1.53723097 1.58364214 1.56151694 1.53028744 1.60841032 1.54594676
 1.53523119 1.56439805 1.43605951 1.48891206 1.57887496 1.61854136
 1.58815658 1.66648523 1.62824823 1.56033686 1.67258395 1.63362275
 1.59515995 1.54637678 1.6313583  1.63004953 1.52959087 1.67124176
 1.57271642 1.57532874 1.47864064 1.53718473 1.55541281]"
11,0.48990321668780873,"[1.62907838 1.53688017 1.5974889  1.61113596 1.55951293 1.56442283
 1.62289448 1.51972088 1.48732015 1.59072624 1.52592283 1.61638327
 1.6155476  1.54111407 1.61520104 1.53967781 1.56557487 1.57769312
 1.54722532 1.57831614 1.55141447 1.53070006 1.64781752 1.51412914
 1.50925764 1.53766137 1.64663902 1.65364274 1.57279401 1.45703865
 1.53752139 1.5844278  1.56165401 1.5328732  1.61123836 1.54676175
 1.53855686 1.56578967 1.43886343 1.48962317 1.57645524 1.61815572
 1.58524924 1.66686933 1.62748213 1.56046987 1.66944964 1.6324506
 1.59754596 1.54772766 1.62948328 1.63133308 1.53097779 1.66737641
 1.57184215 1.57262993 1.48108096 1.53781428 1.55500461]"
12,0.48977408124363425,"[1.62622913 1.52392435 1.59946319 1.61238744 1.53727466 1.56598154
 1.61779103 1.49950998 1.49517316 1.60968909 1.54501229 1.61880579
 1.63594877 1.56025852 1.62893418 1.52520908 1.55466484 1.58188758
 1.51969067 1.58525643 1.54386631 1.52555843 1.646237   1.50373944
 1.50530981 1.53704958 1.6639821  1.67181258 1.57129445 1.44448228
 1.54450945 1.57075507 1.56607296 1.52495085 1.6141168  1.54311546
 1.53840568 1.58219711 1.42976404 1.48130801 1.57585632 1.61602176
 1.56860086 1.67466056 1.61659637 1.55231127 1.67732281 1.62513999
 1.59205037 1.54831722 1.63757237 1.62300715 1.53879535 1.67307933
 1.59685385 1.56309439 1.47339447 1.52624342 1.55377163]"
13,0.48781148037107985,"[1.74551712 2.05500814 1.50373827 1.51913946 1.71676212 1.41185251
 1.75760578 1.43055629 1.66224356 1.35681944 1.43410008 1.08800988
 1.17806594 1.27743505 0.83559248 1.48799212 1.53095792 1.62019697
 2.05779541 1.91001127 2.05389778 1.127546   1.39735232 1.85245364
 1.62044318 1.81670374 1.57901763 2.15657883 2.30869    2.09664443
 1.4818641  1.19633923 1.82825788 2.59075476 2.09380114 1.45021647
 1.42357934 1.52394638 1.18934472 1.91053959 1.36353084 1.664723
 1.84463255 1.86573546 1.77365915 1.48480869 1.81602179 1.17065207
 1.24400603 1.05969148 1.76076088 1.21625186 1.52074123 1.74656311
 1.1681082  1.20019264 1.62379427 1.24081473 1.45073176]"
14,0.4836082555446871,"[1.70328092 2.3242164  1.51986515 1.35681475 1.60001034 1.21685413
 1.94830001 1.09143312 1.7948213  1.3109034  1.46494013 0.81169192
 1.10247684 1.33437837 0.72202213 1.86711659 1.83255229 1.50597279
 2.4364289  1.90826424 2.32588313 0.55921714 1.26203215 2.11785127
 1.17055605 1.80298628 1.77433561 2.43001235 2.29996133 2.04680522
 1.35460874 1.12491128 1.63746767 3.01055292 2.2081102  1.8114852
 1.29091099 1.7618942  0.8124667  1.71738019 1.07358483 1.84115356
 1.91548703 1.97036885 1.64884248 1.30344157 2.05691075 0.92198032
 0.80827677 0.31936126 1.92845989 1.35929686 1.41767703 1.7239657
 0.57940324 0.7811075  1.87545019 0.6445344  1.79491182]"
15,0.4833897448265135,"[1.67360785 2.2626278  1.54173436 1.35953255 1.55568389 1.22882801
 1.96380347 1.08699213 1.76720838 1.33456286 1.48503197 0.87866337
 1.17355699 1.33374288 0.77671172 1.84558494 1.81928928 1.53169171
 2.36976362 1.85874213 2.23285696 0.58785789 1.31307622 2.0720088
 1.1464541  1.73948354 1.82729142 2.35885328 2.22312138 1.95076798
 1.36722327 1.1696692  1.60299028 2.8912036  2.16465211 1.80276471
 1.32369361 1.7699243  0.82924223 1.67279818 1.05710623 1.87584345
 1.88044831 1.95581149 1.63364981 1.2919518  2.07224888 0.95190287
 0.84333387 0.34946164 1.91320744 1.40698786 1.41621595 1.72849909
 0.62876756 0.81547939 1.88335791 0.65131532 1.80808951]"
16,0.4783880616541522,"[1.80998894 1.84561823 1.87968478 1.05842706 2.19582763 1.29186533
 1.4511857  0.90674607 1.11881339 1.78809864 1.79056094 1.86569625
 1.36343067 2.0068379  1.23914961 1.26152897 1.89241817 1.48991402
 1.66485303 1.34148586 1.73955764 1.41402074 1.79876858 1.00211404
 1.5051717  1.33757331 2.2294055  2.27243657 1.8164808  1.62125336
 1.38462546 2.30596611 1.41967322 2.71817509 1.62401903 1.5448725
 1.70399993 1.37054507 1.77051181 1.56595397 1.2221226  1.60318064
 2.00162965 1.67883502 1.60466897 1.87683929 2.17886248 1.22231517
 1.72419054 1.10902824 1.96278819 1.13668599 1.41197817 1.58569766
 1.17427676 1.90014268 2.20239851 1.19552126 1.72982307]"
17,0.47796543680663195,"[1.83387527 1.91853159 1.87267914 1.04871898 2.23861307 1.29839314
 1.47398562 0.92174714 1.14444105 1.77054458 1.75979843 1.77781493
 1.30293864 1.9733352  1.13628878 1.26244291 1.90371723 1.47936342
 1.71880054 1.42596337 1.83653819 1.37795291 1.76309414 1.05094755
 1.52525425 1.38606412 2.18174965 2.35454833 1.89169847 1.73586677
 1.35864281 2.24800669 1.45629505 2.84225261 1.68348338 1.53136282
 1.6722001  1.35848573 1.76206145 1.62650212 1.23193993 1.6149789
 2.04843698 1.715639   1.63154826 1.88681639 2.16415388 1.15779679
 1.71846725 1.08684577 1.9475114  1.07124778 1.45804236 1.59664951
 1.13898531 1.85195915 2.20223658 1.20028997 1.71585194]"
18,0.47805196538865385,"[1.87127653 1.85870637 1.90353049 1.05048931 2.18782539 1.34211592
 1.3839847  0.93893995 1.06964372 1.81076135 1.78485226 1.8440325
 1.34441724 1.90576326 1.22663463 1.25792451 1.89169836 1.42404829
 1.66905148 1.29319581 1.68285373 1.41189534 1.82761733 0.91756344
 1.52641004 1.29946495 2.2183136  2.23301737 1.8147286  1.68161588
 1.27858145 2.32986396 1.3215611  2.7848384  1.56631088 1.56394611
 1.6898955  1.341833   1.83279987 1.5773607  1.19705884 1.65701372
 2.10957938 1.67743367 1.60635704 1.8947472  2.0795479  1.28713588
 1.80878938 1.20714529 1.95032677 1.10853295 1.47944387 1.59737181
 1.17266725 1.93896365 2.26361359 1.20177313 1.76470631]"
19,0.47799830813885075,"[1.83562447 1.92235365 1.87347799 1.04903271 2.23892936 1.29482471
 1.4747949  0.92401418 1.14945662 1.76702482 1.75633782 1.77731146
 1.30390459 1.97700685 1.13365009 1.2612103  1.90308916 1.47840299
 1.71508578 1.42800489 1.84222752 1.37929609 1.76268098 1.05414176
 1.52070067 1.38525683 2.18376849 2.360774   1.89824606 1.73968781
 1.35995089 2.24277617 1.46036019 2.84646427 1.68716945 1.53213952
 1.6699054  1.35446568 1.76057978 1.63077405 1.23320432 1.61445303
 2.04762705 1.71191068 1.63193729 1.89006904 2.16522558 1.15296098
 1.72038089 1.08635809 1.94514515 1.06676013 1.45753452 1.59636491
 1.13627374 1.85230471 2.20126119 1.19930832 1.71578013]"
