Iteration,Score,Parameter Values
1468,0.43874856069760826,"[-0.89198514  1.11276681  3.8149718   3.02405738  3.95984856  2.67217324
  3.21393118 -2.82203836  3.0461592   2.81993016  2.96108812 -1.10504884
  4.16260059 -0.15514884 -0.12507067  3.03170898  3.23425361  3.07667139
  3.87608023  3.62252705  1.60706373  1.94243544  2.95922905  0.0831041
  2.33257305  3.29325112  3.21936961  2.98121957  1.74625565  3.27868439
  3.21769927  3.10206237  2.70968191  3.05583399  3.15940668  3.15464452
  3.78338021  2.91490971  2.55951973  3.21883281  4.7338644   3.19724033
  3.21442611  3.11629921  0.48189534  2.71710893  3.13331161  1.21949809
  0.86879275  3.34897075  3.17834142  3.14792111 -1.35839387  3.07656548
 -2.23720852  0.71337304  3.21008925  2.55506956  2.48763902]"
1469,0.43872928257369803,"[-0.89638906  1.10770532  3.82784512  3.02540806  3.94458981  2.68961773
  3.19260826 -2.83473123  3.02860798  2.83621049  2.93904114 -1.11453097
  4.13596869 -0.13612992 -0.13747554  3.04307413  3.24130949  3.06522321
  3.86608426  3.5701931   1.59003221  1.94708187  2.92519932  0.08487048
  2.33463336  3.29405756  3.22266619  2.96604355  1.71543141  3.28423444
  3.21909041  3.1262484   2.66881952  3.04240328  3.15041453  3.15746239
  3.79527523  2.89736204  2.57181996  3.23396371  4.73709238  3.16275806
  3.19740745  3.10110968  0.48831776  2.70688065  3.1470697   1.22985995
  0.89628377  3.34042993  3.18800053  3.16217061 -1.375043    3.07835425
 -2.26624255  0.68326498  3.21446043  2.54013142  2.49698378]"
1470,0.4387007174606128,"[-0.90088298  1.12382196  3.87397761  3.02298597  3.90162312  2.71484901
  3.1510523  -2.87441865  2.98721183  2.92304754  2.87418993 -1.16193045
  4.09707097 -0.08965276 -0.14285303  3.05882067  3.23756028  3.05505599
  3.87591663  3.45978252  1.53385717  1.9525779   2.87205023  0.08720466
  2.33987901  3.25669013  3.20823805  2.95483881  1.68625543  3.32676838
  3.2278625   3.1619348   2.58665824  3.05002315  3.14209224  3.11930433
  3.82941864  2.88031732  2.61364182  3.30329252  4.72243286  3.12489671
  3.15091454  3.04669644  0.50604639  2.68019761  3.21060039  1.23302262
  0.95297668  3.3133758   3.20466542  3.159766   -1.40756363  3.03775385
 -2.30650486  0.62548442  3.21840065  2.5179097   2.49083538]"
1471,0.4387157438169321,"[-0.88753601  1.14758444  3.90097668  3.00759754  3.88448294  2.73626411
  3.14147377 -2.87317397  2.9497337   2.97571782  2.83239787 -1.19304327
  4.06734152 -0.07395891 -0.13205256  3.05231985  3.21662899  3.06301648
  3.87464413  3.40500867  1.50395106  1.95678081  2.87055032  0.07612844
  2.3379532   3.23229527  3.19771985  2.9617607   1.70140031  3.35817339
  3.2217237   3.16976913  2.54099645  3.0607594   3.13144808  3.09923482
  3.84831707  2.86829586  2.63828148  3.33010692  4.70920129  3.10366405
  3.13174843  3.02210757  0.52838653  2.66263231  3.25009549  1.2246958
  0.96572385  3.30105709  3.22144115  3.16285477 -1.42975052  3.00245622
 -2.31784949  0.58560619  3.22275886  2.49733878  2.4946972 ]"
1472,0.43870000245758073,"[-0.8967347   1.13304098  3.87624462  3.01638606  3.90608982  2.71389108
  3.15555836 -2.86323709  2.9814983   2.91893948  2.88043633 -1.1581637
  4.0926761  -0.09598887 -0.13790804  3.05338566  3.22704516  3.05960021
  3.86974372  3.46799643  1.53790103  1.95354711  2.88623885  0.08618686
  2.34075756  3.26109731  3.20825411  2.96225721  1.69939846  3.32553486
  3.22368865  3.15468248  2.59403154  3.05577297  3.13428061  3.12335498
  3.8238795   2.87984742  2.61313548  3.29731717  4.72135225  3.12353149
  3.15875131  3.04990085  0.511987    2.68002543  3.21229098  1.22624766
  0.94194954  3.31775536  3.20717245  3.16390621 -1.41000025  3.04000613
 -2.29868117  0.62795092  3.22256991  2.5137576   2.49595234]"
1473,0.4386945280600186,"[-0.89528224  1.13250675  3.87141265  3.01584016  3.90928638  2.71049285
  3.15827913 -2.86060468  2.98429888  2.91170712  2.88483364 -1.15448499
  4.09573081 -0.10068336 -0.13661721  3.05223614  3.22695323  3.06060023
  3.86990887  3.47603097  1.54260878  1.95270747  2.89056769  0.08629119
  2.34106164  3.26474271  3.2090845   2.96417577  1.70133562  3.32152924
  3.22404792  3.15278681  2.60116414  3.05389623  3.13628701  3.12674285
  3.82224094  2.88209623  2.60966438  3.29156386  4.72360815  3.1263655
  3.16245489  3.05552859  0.51028502  2.6829003   3.20591836  1.22630345
  0.93750294  3.31952647  3.20680086  3.16500003 -1.40656039  3.04425249
 -2.29591847  0.63309177  3.22181301  2.51705859  2.49684395]"
1474,0.43872777090823567,"[-0.90191189  1.14455513  3.93520357  3.02487049  3.85883851  2.75799143
  3.11976637 -2.88061725  2.94804925  3.01070075  2.82619239 -1.20261732
  4.0497574  -0.05097898 -0.1508516   3.08142707  3.22484849  3.04799397
  3.86343666  3.35876248  1.47279149  1.96469217  2.84312238  0.08201468
  2.34655426  3.2225849   3.19733416  2.94043959  1.67617489  3.36768213
  3.22193631  3.19509265  2.50708157  3.07116261  3.12216822  3.09435896
  3.85253983  2.84819695  2.65042078  3.36572401  4.69657642  3.08530209
  3.1066696   2.99350161  0.52952984  2.65355721  3.28205786  1.24470225
  0.99758063  3.29883756  3.21393585  3.1667413  -1.45267474  2.98674745
 -2.33258742  0.57485051  3.23615212  2.46373006  2.48212587]"
1475,0.4387041209207644,"[-0.90057167  1.11776228  3.85762989  3.02116928  3.92480648  2.69260936
  3.17559453 -2.85280003  3.00538586  2.87165586  2.91364106 -1.13674703
  4.11726607 -0.11406658 -0.14465037  3.05010068  3.22579013  3.0689012
  3.8675807   3.52004971  1.56908806  1.95149829  2.91230301  0.08408848
  2.33699628  3.27905188  3.21212942  2.9675118   1.72077695  3.30601011
  3.22610297  3.13341065  2.63719369  3.0552696   3.14123111  3.13892741
  3.80303577  2.89158898  2.5907446   3.26633115  4.73124748  3.15241894
  3.18147781  3.07714888  0.50156936  2.69304368  3.18146518  1.21938591
  0.91683694  3.33264573  3.19757339  3.16087362 -1.39267361  3.06358556
 -2.27521448  0.66456237  3.21967906  2.52877825  2.49773939]"
1476,0.43869799819017224,"[-0.89381932  1.13335456  3.86436483  3.01967944  3.90906986  2.70683966
  3.1685696  -2.86825121  2.98721598  2.91383699  2.87955548 -1.15909918
  4.10536221 -0.10172545 -0.13152615  3.04322208  3.22120408  3.06149389
  3.87111491  3.48652574  1.54449009  1.95417457  2.89315848  0.08339099
  2.33128607  3.26555556  3.21141951  2.96357015  1.71056687  3.32781673
  3.22335782  3.14407414  2.60988951  3.05652377  3.13997117  3.11517667
  3.82433444  2.89323122  2.61366221  3.28665742  4.71447647  3.14030061
  3.16533179  3.05458859  0.50545043  2.6773938   3.20803836  1.21833301
  0.93043298  3.31618485  3.20637254  3.15834521 -1.40547389  3.0330347
 -2.28762415  0.63061025  3.21559537  2.52353304  2.48760086]"
1477,0.4386947960469169,"[-0.90114283  1.12962618  3.87258364  3.02161592  3.91080388  2.71027635
  3.15832967 -2.86041971  2.99138345  2.9081301   2.89252387 -1.15031181
  4.09709306 -0.09997852 -0.14375124  3.0591264   3.22973646  3.05759563
  3.86658299  3.4766112   1.54144693  1.95394049  2.88611466  0.08683998
  2.3428628   3.2697697   3.21159121  2.96017446  1.69599473  3.31707091
  3.22819657  3.15501237  2.6035136   3.05330021  3.13637795  3.13421318
  3.82167511  2.87927366  2.60642547  3.29159934  4.72527737  3.12611392
  3.16173474  3.05640485  0.51054676  2.68487256  3.19936458  1.23230538
  0.94011441  3.32355102  3.20621437  3.16908814 -1.40712103  3.05292301
 -2.29691417  0.63913501  3.22693832  2.51422466  2.49791709]"
1478,0.43869536848531204,"[-0.89430432  1.13360579  3.87285964  3.01354264  3.90654046  2.71249868
  3.15741952 -2.86144403  2.98072595  2.91517205  2.88034496 -1.1559946
  4.09358994 -0.10114865 -0.13369315  3.05072619  3.22522997  3.06039713
  3.8701792   3.47218339  1.5409041   1.95239148  2.89054143  0.08586443
  2.34093925  3.26469575  3.2080724   2.96534522  1.69974179  3.32153868
  3.22414049  3.15466415  2.59873984  3.05305034  3.1370945   3.12614414
  3.82402359  2.8815447   2.61130202  3.29222791  4.72295125  3.12417543
  3.16149033  3.05357674  0.51209007  2.68313634  3.20808526  1.22549865
  0.93899678  3.31832694  3.20938594  3.1670328  -1.40891384  3.04323
 -2.2983803   0.62883947  3.22057918  2.51668833  2.49696552]"
1479,0.4387249406301969,"[-0.90496881  1.13123056  3.90847099  3.04370308  3.85963474  2.74959709
  3.12836885 -2.90642078  2.94890805  2.98160609  2.82253041 -1.19163195
  4.06438058 -0.05309513 -0.14583804  3.06286109  3.22961744  3.04127283
  3.8627664   3.38703101  1.48401838  1.96894491  2.82873355  0.08607969
  2.33798342  3.23047533  3.20640547  2.93970838  1.66450074  3.35684425
  3.22501582  3.17905277  2.516623    3.05062978  3.12599578  3.09282407
  3.8478658   2.86674058  2.65217833  3.35206469  4.70433519  3.09525202
  3.11321707  2.99565923  0.53062792  2.65262719  3.27149575  1.2388743
  0.99542375  3.29890217  3.21057116  3.15532449 -1.44993615  2.99659035
 -2.32881159  0.57053746  3.22826335  2.48626877  2.48340416]"
1480,0.4387025031102122,"[-0.90823651  1.13820939  3.89319826  3.00884992  3.91212252  2.69579624
  3.15405127 -2.85873052  2.98266699  2.92973259  2.90551919 -1.15699639
  4.09686613 -0.0931427  -0.14681284  3.05480452  3.22304691  3.05956844
  3.88212571  3.47985855  1.54146675  1.95189452  2.89753158  0.09423873
  2.34430284  3.25372301  3.20314285  2.97682913  1.71094827  3.3303364
  3.22170321  3.14262305  2.61173203  3.08304916  3.12687841  3.1137092
  3.80611659  2.88755627  2.61333884  3.31040888  4.71518915  3.13819761
  3.1661997   3.04484001  0.50512764  2.68104365  3.2236631   1.21446874
  0.93366218  3.32134801  3.19741246  3.14771862 -1.40809087  3.04022471
 -2.27706131  0.65015212  3.22757331  2.52029427  2.49498397]"
1481,0.43871687414054605,"[-0.94915075  1.14905879  3.9425769   3.02587089  3.92130228  2.69715529
  3.10582751 -2.85925805  2.99188596  2.93462449  2.95775325 -1.15655308
  4.06190563 -0.07106562 -0.18301352  3.10018469  3.2623965   3.03470136
  3.86787943  3.45049173  1.53743477  1.96670753  2.86632682  0.13669432
  2.36672587  3.25516996  3.19919661  2.95386087  1.68443806  3.29922265
  3.22448145  3.16506101  2.57413635  3.09524607  3.07951744  3.13884046
  3.78951509  2.84553212  2.62090015  3.34947354  4.70536778  3.10631646
  3.16784568  3.01225331  0.50585994  2.69495295  3.21814696  1.26696493
  0.96272605  3.36160076  3.16111682  3.17556153 -1.42958548  3.06205595
 -2.30223864  0.69506143  3.25875806  2.48209069  2.51899319]"
1482,0.4386954372064941,"[-0.89562243  1.13431057  3.87315361  3.01336862  3.91089243  2.70902871
  3.15860056 -2.85783224  2.98458183  2.91138987  2.88761615 -1.15343145
  4.09505029 -0.10092047 -0.1363353   3.05236589  3.22586028  3.06085763
  3.87058165  3.47707073  1.54396763  1.95224591  2.89274082  0.08682992
  2.34171546  3.26372837  3.2082453   2.96564476  1.70349493  3.32071331
  3.22390758  3.15222727  2.60294194  3.05627734  3.13479935  3.12711581
  3.82090631  2.88194731  2.60855649  3.29208337  4.7237928   3.12663907
  3.16374438  3.05618124  0.50966623  2.68366624  3.20571307  1.22563912
  0.93625092  3.31986796  3.20632605  3.16493982 -1.4057476   3.04546415
 -2.29456687  0.63625938  3.22185415  2.51683216  2.49785816]"
1483,0.43870619104419667,"[-0.89058286  1.1027695   3.84756738  3.03597294  3.90511577  2.72206441
  3.16359121 -2.89123454  2.98285206  2.88211648  2.85256823 -1.15878387
  4.10085035 -0.10157198 -0.13540572  3.04083139  3.24051984  3.06819315
  3.86133949  3.46918224  1.54948978  1.95338851  2.86996191  0.07300232
  2.3351949   3.28263003  3.22801888  2.94654368  1.69500693  3.32176641
  3.22358237  3.15226954  2.58253342  3.01340816  3.15841347  3.12603252
  3.83246684  2.88347554  2.61738031  3.26472287  4.71716329  3.11869969
  3.1614352   3.06344731  0.51530752  2.67396688  3.19007895  1.22724906
  0.94104184  3.31432752  3.21077044  3.16409952 -1.40777653  3.04132244
 -2.31782927  0.60450856  3.20696291  2.53062372  2.49625513]"
1484,0.43869930300222393,"[-0.90672402  1.13462471  3.89394455  3.01249859  3.91832857  2.6942839
  3.15358938 -2.84692683  2.99120864  2.91510968  2.91328923 -1.15915502
  4.1007313  -0.088881   -0.15556841  3.06920792  3.22111495  3.06674683
  3.88479371  3.47673954  1.54526503  1.95347701  2.90817842  0.08362308
  2.35223382  3.24728201  3.20298621  2.97114584  1.72828602  3.32489201
  3.22966943  3.14654199  2.61033729  3.083912    3.12729461  3.11889724
  3.80449666  2.87865584  2.6023959   3.30621617  4.71775753  3.13914584
  3.16768642  3.05331449  0.50690537  2.68793704  3.21352322  1.22638322
  0.93534259  3.32195435  3.19434231  3.15265842 -1.40044158  3.04174862
 -2.28190438  0.67616117  3.22865488  2.51952131  2.49845021]"
1485,0.43871671566109394,"[-0.9695307   1.15399284  3.98787033  3.01508026  3.94670858  2.65443374
  3.09207987 -2.82497204  2.9935544   2.95196112  3.00733182 -1.15832393
  4.05900777 -0.01455269 -0.22293464  3.13781931  3.24488737  3.02892736
  3.8953914   3.40077474  1.5161306   1.96368525  2.89808686  0.11980158
  2.38500636  3.19644128  3.18687357  2.97691119  1.74471022  3.32301672
  3.23397186  3.15667882  2.56957417  3.17710572  3.06840481  3.11589584
  3.774951    2.83552829  2.5902315   3.3854623   4.70483955  3.1392423
  3.16008839  3.01853611  0.53369398  2.71305081  3.25660753  1.26953078
  0.9676982   3.33639552  3.15536917  3.12824047 -1.41032845  3.07858283
 -2.27714465  0.7835156   3.28690036  2.49013642  2.54189832]"
1486,0.438719008739642,"[-0.92330153  1.16547081  3.96033743  3.00932655  3.90679916  2.68830558
  3.11459213 -2.83353802  2.97435595  2.99303151  2.93787248 -1.19081798
  4.07884046 -0.03785251 -0.17506048  3.10122508  3.21786738  3.04915761
  3.90679677  3.40476084  1.50205165  1.95302642  2.89688268  0.09814502
  2.37058634  3.1960444   3.18969933  2.96950965  1.72572221  3.35469923
  3.23152888  3.16549142  2.56098738  3.14742032  3.08527689  3.07809673
  3.79051559  2.85778604  2.61803576  3.37261756  4.69316369  3.11699918
  3.14071738  3.01426278  0.52206788  2.67662851  3.28321755  1.25283171
  0.97222195  3.30900579  3.16995334  3.12935608 -1.41274727  3.00334703
 -2.28145118  0.71330473  3.2551584   2.48767534  2.5110008 ]"
1487,0.4387225157396259,"[-0.85688687  1.12346059  3.8087218   3.03158532  3.86847666  2.7698147
  3.17654421 -2.90812133  2.95797815  2.90669732  2.77528065 -1.15316012
  4.08574407 -0.13723048 -0.07382697  2.99783713  3.22661311  3.05473441
  3.82950585  3.46497065  1.53382318  1.95251916  2.83898397  0.08107681
  2.30271526  3.30969902  3.22246703  2.94065459  1.63495877  3.32081094
  3.21671376  3.1730262   2.56511178  2.96211384  3.17634897  3.14354111
  3.88183702  2.89660459  2.6378139   3.25356792  4.73257629  3.09057562
  3.14018765  3.0548669   0.52442442  2.66052309  3.1869784   1.22240822
  0.94793974  3.30814297  3.25047261  3.20487528 -1.43389256  3.03053319
 -2.33958163  0.49464651  3.19330825  2.50875495  2.48039852]"
1488,0.438695090685156,"[-0.90076415  1.13200502  3.87945527  3.01436148  3.91487658  2.70094497
  3.15660455 -2.85470697  2.98842524  2.91049792  2.90028871 -1.15584801
  4.09961398 -0.09617502 -0.14681924  3.06034136  3.22532728  3.06425927
  3.87663771  3.47977136  1.5454035   1.95260813  2.90089671  0.0857135
  2.34654924  3.25855975  3.2069256   2.9684692   1.71474517  3.32268149
  3.2260095   3.14823746  2.60841399  3.06770503  3.13272681  3.12331729
  3.81220801  2.88151958  2.60444853  3.29596784  4.72153543  3.13416093
  3.16673468  3.05663954  0.50797706  2.68644687  3.2079216   1.22444368
  0.93439707  3.32104461  3.20093144  3.15819549 -1.40199332  3.04495601
 -2.28800941  0.6549939   3.22538499  2.52004377  2.49807602]"
1489,0.4386958152032553,"[-0.89885824  1.12870044  3.85841253  3.01261921  3.92265256  2.70475913
  3.1665512  -2.85604482  2.99862754  2.8953538   2.90310398 -1.13819194
  4.10706698 -0.11627268 -0.13536325  3.04842739  3.23422101  3.05613152
  3.86637454  3.50586207  1.55267527  1.95278333  2.89554267  0.08834421
  2.3421799   3.28032322  3.21237219  2.96953907  1.6983552   3.30825636
  3.22423989  3.14820784  2.62617687  3.04831938  3.14193985  3.13944573
  3.81561961  2.8853371   2.60187394  3.27676155  4.7298922   3.1367843
  3.17462226  3.07086867  0.50403141  2.6920179   3.18386052  1.22608463
  0.92216809  3.32940073  3.20525543  3.16668425 -1.39443306  3.06648038
 -2.28465301  0.64019646  3.22175949  2.52448271  2.49724815]"
1490,0.4386959877960376,"[-0.89992273  1.13343185  3.87980567  3.0129677   3.91342088  2.70219161
  3.15544226 -2.85432335  2.98735947  2.91327507  2.89914675 -1.15594563
  4.0971711  -0.09634959 -0.1448469   3.05953185  3.22672036  3.06144685
  3.87522302  3.47706427  1.54364757  1.95212685  2.89801588  0.08791915
  2.34577999  3.25840123  3.20743205  2.96748601  1.70973327  3.32266801
  3.22433008  3.14968127  2.6059115   3.06667134  3.13045507  3.12311412
  3.81349897  2.88110574  2.60595831  3.29631101  4.72210627  3.13132535
  3.16544907  3.05500527  0.50866158  2.68538319  3.2092191   1.22557556
  0.93643068  3.32090981  3.20064418  3.15990827 -1.40267127  3.04445755
 -2.29025446  0.65081528  3.22532812  2.51736911  2.49909878]"
1491,0.4387106546735715,"[-0.9511628   1.17647902  3.98179751  3.01233675  3.92686137  2.67218369
  3.08378539 -2.81978624  2.99280349  3.00211041  2.96243136 -1.18519562
  4.05894743 -0.01488135 -0.20756047  3.1405792   3.2218247   3.02759784
  3.89098355  3.38063232  1.49701352  1.94386148  2.87880619  0.11352051
  2.38859752  3.19683062  3.18850686  2.98113145  1.71238113  3.34577061
  3.2468381   3.18482816  2.5586026   3.16702316  3.0813624   3.10619763
  3.79713266  2.84382332  2.60274795  3.39910172  4.70222744  3.11729481
  3.14308493  3.00401682  0.54010022  2.70856696  3.27790999  1.27000307
  0.98203153  3.30905468  3.1864123   3.1495735  -1.41872439  3.05648589
 -2.27754964  0.74303655  3.28831417  2.48489151  2.54040647]"
1492,0.4387286538553327,"[-0.86773663  1.13967865  3.83963382  3.02824833  3.85537294  2.77490915
  3.15720684 -2.90739905  2.94107479  2.95082076  2.78279323 -1.16233243
  4.05665022 -0.10692839 -0.08581071  3.01532072  3.23512902  3.03043304
  3.83200784  3.40981864  1.50085402  1.95445867  2.81537041  0.09547392
  2.30873223  3.29122808  3.22072976  2.93491421  1.61170448  3.32408277
  3.22001085  3.18735047  2.5278797   2.98559223  3.14000933  3.13859401
  3.88291041  2.88414893  2.65264638  3.2916495   4.7286602   3.06365937
  3.11853005  3.02602673  0.53724836  2.65355224  3.22668742  1.24135954
  0.98049481  3.30473523  3.23712283  3.20367851 -1.45213349  3.02122582
 -2.35485173  0.49368178  3.21457667  2.48372392  2.49642916]"
1493,0.43878201703628966,"[-0.98403657  1.17408229  4.0717778   2.93247546  4.00632369  2.55074661
  3.04179608 -2.74039122  2.99598746  2.93898348  3.16644501 -1.16084096
  4.03293214  0.00565677 -0.28295229  3.20639284  3.21350334  3.06746537
  3.97088595  3.41511279  1.56412005  1.94568171  3.01425191  0.14142443
  2.46824237  3.15048681  3.17521776  3.03315786  1.83822871  3.3003628
  3.24921765  3.1179754   2.6497196   3.29686686  2.99763139  3.08871275
  3.67729622  2.82667645  2.53643264  3.40140618  4.69755795  3.14169919
  3.22264425  3.03885281  0.51324695  2.76078274  3.28972565  1.25595168
  0.94891873  3.34555921  3.12432284  3.12051728 -1.37809842  3.12016084
 -2.2363286   0.98217845  3.30152862  2.50298768  2.59172163]"
1494,0.4387006265556564,"[-0.87410944  1.14051023  3.85219861  3.01628012  3.89564435  2.73222304
  3.16716612 -2.86981438  2.96990967  2.91741372  2.84299951 -1.15671784
  4.08891522 -0.11580624 -0.10908584  3.03357566  3.22192336  3.06054541
  3.85934499  3.46372814  1.53812865  1.95250166  2.8756039   0.08351404
  2.33167222  3.28010439  3.20989205  2.95500122  1.67809704  3.32176584
  3.22404417  3.1626633   2.58629065  3.02086681  3.14900327  3.1337137
  3.85054945  2.88466128  2.61979022  3.28125747  4.72935614  3.1092186
  3.15409861  3.05902038  0.51244673  2.67373594  3.19761501  1.22608436
  0.94314744  3.3106701   3.22904226  3.18170775 -1.41367553  3.0351868
 -2.31566324  0.58294375  3.20816657  2.51552254  2.49446112]"
1495,0.43876014065503255,"[-0.98799398  1.11147264  3.98017954  2.96165298  4.006471    2.56111508
  3.1004167  -2.78720117  3.03083056  2.84106291  3.13260097 -1.10713155
  4.09955812 -0.06445319 -0.26043101  3.15163722  3.23320104  3.07386025
  3.92486164  3.55592997  1.60551263  1.94964327  2.99839092  0.12822429
  2.43906156  3.21199654  3.19525267  3.04739757  1.83285     3.27227157
  3.23244048  3.09635624  2.72676622  3.20986279  3.07993049  3.1057947
  3.68802762  2.86701011  2.53731657  3.32915002  4.71517738  3.20337643
  3.24450433  3.08337051  0.49852094  2.75661643  3.19809592  1.21509594
  0.88197422  3.3704931   3.12484899  3.1133183  -1.34506524  3.15514372
 -2.19596614  0.91783788  3.26882569  2.56416713  2.53312532]"
1496,0.43871383069869563,"[-0.86895466  1.12300661  3.82546783  3.04145052  3.87789276  2.75742356
  3.17632389 -2.90091542  2.97523007  2.92447801  2.80464259 -1.16566626
  4.10364857 -0.11318837 -0.09691025  3.01749871  3.23266608  3.05011496
  3.84531703  3.46435185  1.52583793  1.95355945  2.84655444  0.07695445
  2.30767353  3.28773781  3.22146009  2.93582673  1.65037787  3.3321098
  3.21755354  3.16900862  2.57182848  2.99327222  3.16560355  3.12878223
  3.86404495  2.89343549  2.6358512   3.27161042  4.72408787  3.10713891
  3.13849565  3.05075042  0.51685935  2.65729216  3.1989483   1.22433907
  0.95416313  3.30545073  3.22820772  3.1790206  -1.42322051  3.01520751
 -2.32265153  0.53587362  3.20722461  2.50857874  2.47463359]"
1497,0.43869445509512733,"[-0.89812472  1.12823803  3.87067621  3.01770042  3.91342455  2.70889769
  3.15722447 -2.86238268  2.98640288  2.90483137  2.88891885 -1.15043621
  4.09738536 -0.10117776 -0.13903215  3.05228389  3.22998471  3.05923148
  3.86822181  3.48046231  1.54648618  1.95291921  2.88947555  0.08650608
  2.34155752  3.26811445  3.20948688  2.96436052  1.70241187  3.31745809
  3.22526908  3.15178959  2.60384579  3.0520002   3.13833169  3.13076284
  3.82069004  2.88198487  2.60743814  3.28907723  4.72444384  3.12826838
  3.16555184  3.05838767  0.51177111  2.68606469  3.20128756  1.22735751
  0.93531017  3.3228916   3.20711604  3.16566276 -1.40563277  3.05205737
 -2.29394584  0.63642942  3.22301882  2.52005277  2.49828965]"
1498,0.4386971399821931,"[-0.89755295  1.14423386  3.87975887  2.99877481  3.91560652  2.69876939
  3.1539101  -2.84795507  2.98171201  2.91340749  2.89880308 -1.14537902
  4.09023559 -0.11121645 -0.12817682  3.04501435  3.22262021  3.05443973
  3.87940774  3.48420846  1.5532055   1.94643952  2.89954627  0.09349746
  2.34238218  3.2667107   3.20295355  2.97231137  1.69871994  3.31361774
  3.22086559  3.14835592  2.60800496  3.0600601   3.12957394  3.13185251
  3.82130603  2.8847324   2.60834025  3.28903593  4.72405516  3.12475668
  3.17088515  3.05912494  0.50732258  2.69370681  3.20807906  1.2248001
  0.93104602  3.31914157  3.20977834  3.16418582 -1.40635652  3.05625872
 -2.29287969  0.64141835  3.22113651  2.51774273  2.50806503]"
1499,0.4387108488500815,"[-0.85141807  1.12877568  3.82369429  3.03957785  3.86973134  2.77207512
  3.1925862  -2.88494625  2.9666657   2.92370703  2.78013706 -1.17287295
  4.10855396 -0.11255254 -0.09461315  3.02078993  3.20930047  3.06811486
  3.83566838  3.44772687  1.52905135  1.95205793  2.86197187  0.04917395
  2.31180867  3.28697102  3.21211231  2.93202032  1.67392079  3.33864242
  3.23563065  3.17612252  2.57321291  2.98978616  3.17277113  3.14931712
  3.87243451  2.89904797  2.62072134  3.26912772  4.73946896  3.1043176
  3.13090441  3.06350302  0.52353806  2.65524832  3.19145513  1.21569076
  0.94955452  3.29093872  3.25055448  3.20337117 -1.42255817  3.00797574
 -2.32366793  0.5392588   3.20103218  2.51527026  2.4770301 ]"
1500,0.43869525558516864,"[-0.8991345   1.12767856  3.87140397  3.01729803  3.91496002  2.70672205
  3.15710527 -2.86181771  2.98728857  2.90317871  2.89246724 -1.14990913
  4.09849731 -0.10115707 -0.14085161  3.05305649  3.23044174  3.05985808
  3.86913685  3.48315226  1.54789823  1.95316824  2.89154512  0.08720504
  2.34258644  3.2681422   3.20953211  2.96549979  1.70448501  3.31653854
  3.22511998  3.1505549   2.60634491  3.05372419  3.1379113   3.13068442
  3.81816739  2.88208652  2.60655582  3.28865771  4.72428169  3.12997066
  3.16722772  3.05923267  0.51127092  2.68664083  3.20052705  1.2267306
  0.93396915  3.32406454  3.20551503  3.16462543 -1.40448104  3.05309628
 -2.29204046  0.64054506  3.22364024  2.52094052  2.49857367]"
1501,0.4387033567138122,"[-0.88569951  1.13619069  3.84354152  3.02985613  3.88955509  2.74304097
  3.16197159 -2.87775151  2.98511421  2.92297268  2.83096467 -1.15822555
  4.09266024 -0.10377573 -0.108533    3.03819777  3.23120179  3.04841776
  3.85517001  3.46431449  1.53123799  1.94489607  2.86480572  0.07736855
  2.32147821  3.2766261   3.20443792  2.94947026  1.66373695  3.33164216
  3.22794867  3.17242658  2.57722883  3.02069107  3.15826156  3.13663435
  3.86047793  2.89039466  2.62306264  3.28747554  4.73050514  3.11332572
  3.14100111  3.04755854  0.51094469  2.68327134  3.20703804  1.23775084
  0.9484767   3.30662524  3.22977292  3.18102285 -1.41946918  3.02722095
 -2.31980837  0.5713186   3.21402244  2.51309304  2.48499138]"
1502,0.4386952788716837,"[-0.89857376  1.12951226  3.87251548  3.01686789  3.91399363  2.70849746
  3.15544584 -2.86122539  2.98546579  2.90596712  2.89047658 -1.14986686
  4.0951723  -0.09999327 -0.13932307  3.05335296  3.23094355  3.05766274
  3.86815839  3.47769215  1.54535218  1.95265571  2.88831678  0.08803782
  2.3426731   3.26721     3.20963272  2.96440157  1.70105089  3.31670375
  3.22490432  3.15236051  2.60211676  3.05275263  3.13651561  3.13095992
  3.82093103  2.88063581  2.60793656  3.29044097  4.72461547  3.12618438
  3.16526693  3.05759644  0.51272494  2.6862423   3.20240155  1.22900556
  0.93659418  3.32291507  3.20644855  3.16582703 -1.40594995  3.05341312
 -2.29457653  0.63701931  3.22391633  2.51925936  2.49993147]"
1503,0.4386980656778823,"[-0.92109985  1.12356998  3.88519332  3.02501375  3.92912007  2.69862006
  3.15770984 -2.84719686  3.00136936  2.9098599   2.9193058  -1.1568684
  4.11585095 -0.08280049 -0.1752868   3.07220833  3.24449587  3.05444723
  3.89034764  3.47093824  1.54813308  1.95094665  2.89035021  0.07528424
  2.343271    3.24579168  3.20380656  2.96205094  1.72521127  3.32222727
  3.23396252  3.150835    2.59594824  3.07227259  3.12522605  3.13388015
  3.8003746   2.87714008  2.6091684   3.30251807  4.72200346  3.14554568
  3.16391962  3.05898956  0.51144906  2.68490718  3.20154477  1.23083431
  0.93953454  3.32110169  3.17830141  3.13674268 -1.38802299  3.03786297
 -2.28362161  0.67906774  3.23561167  2.52317968  2.50698841]"
