Metric,Data,Value (mean + std)
Log Loss,Training, 0.4388 ± 0.0034
Log Loss,Test, 0.4776 ± 0.0038
Log Loss CI,Training, [0.4150 ± 0.0055, 0.4596 ± 0.0043]
Log Loss CI,Test, [0.4545 ± 0.0050, 0.5026 ± 0.0063]
