Iteration,Score,Parameter Values
0,0.49116437742511604,"[-3.15041498e-03  1.16547075e-03 -4.52549846e-04  1.27086718e-03
  7.29495635e-03  3.86712866e-03 -2.54989153e-03 -6.07790081e-03
  7.66189295e-03  7.14123868e-04 -5.07464292e-03 -3.15316198e-03
 -3.13445062e-03  1.68000874e-03 -2.79244435e-03  9.76566699e-05
  4.42128153e-03 -5.42398982e-03  3.42099175e-03  4.41120323e-03
 -4.62061022e-03  1.76689605e-03  2.91385358e-03  2.63890697e-03
  2.61939260e-03  2.76167109e-03  4.45434089e-03  4.28800013e-03
  2.09894656e-03  4.16448565e-03  2.04550992e-04 -1.55588152e-03
  2.79488386e-03  2.33124752e-04  1.32671690e-03  6.20469543e-03
  2.80161043e-03 -4.27317067e-03  6.00587753e-03  2.11898133e-03
 -2.33234574e-03 -5.76026285e-04 -4.68754329e-03  1.51581861e-03
  3.00661919e-03 -6.74149612e-03  2.89193492e-05 -4.78693590e-04
 -2.58187981e-03  3.40341442e-03 -3.75658221e-03  6.68668102e-03
 -2.22019356e-03  5.40196959e-04 -2.03961506e-03 -7.99585971e-03
  1.29132169e-04 -3.09763298e-03  1.33355890e-03]"
1,0.4908600946392415,"[-3.81536042e-03 -3.03161200e-03 -2.36853836e-03  4.61809164e-03
 -1.26054479e-03  9.15766927e-04 -4.65770680e-03 -1.69796936e-03
 -4.03908008e-03  1.25145958e-03 -4.95127958e-03 -6.68796227e-04
  3.50555564e-03  3.23852679e-03  2.09089722e-03  6.04509810e-03
 -1.82059822e-04 -7.84975122e-04 -2.70183080e-03  2.93240217e-03
  1.18558336e-03  5.87606149e-04 -4.89962216e-05  4.36657068e-03
  2.07312753e-03 -7.25291879e-03  7.18025915e-03  1.49968244e-03
 -6.11904769e-04  2.15321890e-03  2.03507704e-03  1.99284495e-03
 -7.71052429e-03  3.96375562e-03 -3.90676335e-03 -4.94124010e-03
  4.25697991e-03 -3.52708597e-03 -1.04366869e-02 -7.49888148e-04
 -6.55823690e-03 -2.76726380e-03  1.47445429e-03  7.20012085e-04
  5.84044541e-03 -5.25391972e-04  6.44743195e-03 -8.65563880e-06
  8.82524228e-04 -1.24122451e-03 -4.51376598e-03 -3.55414397e-04
 -4.99756762e-03  2.23971619e-03  3.06046687e-03 -1.91768946e-03
 -5.63270706e-03 -4.64270191e-03  6.03096273e-03]"
2,0.49018809666774343,"[1.56969511 1.56585796 1.57545561 1.56907949 1.57107489 1.57361424
 1.56838637 1.57101143 1.57490368 1.57366524 1.57338476 1.56775989
 1.57129895 1.57137763 1.57719391 1.56837458 1.57463836 1.57202661
 1.57746507 1.57012449 1.56600148 1.56474091 1.57431504 1.56706127
 1.56915232 1.57194027 1.57339614 1.57394895 1.57170515 1.56392774
 1.57268765 1.57406942 1.56930288 1.57975192 1.57134586 1.57306939
 1.57292145 1.56958256 1.57220244 1.57705789 1.57300746 1.56745835
 1.57454351 1.57440178 1.57016306 1.57446191 1.56687222 1.57346034
 1.57048    1.57171898 1.57578082 1.57373312 1.57126927 1.57690615
 1.57373685 1.57209401 1.57668291 1.57436513 1.58112843]"
3,0.4900314002775255,"[ 1.70540195e-03  5.62246103e-03 -2.11036636e-04  3.70619484e-03
  3.79362917e-03  4.59111660e-03 -2.78423987e-03 -3.87205580e-03
  5.71816343e-03 -1.73125106e-03  2.09425404e-03 -7.31359905e-03
 -7.44661564e-03  2.77807366e-04  3.23740732e-03 -3.21001698e-03
  6.13773634e-03 -8.54365084e-03  2.36959379e-03  9.89683358e-04
 -2.55695304e-03 -3.26626162e-03 -4.15356861e-03  8.55182446e-04
  1.24407428e-03 -1.92932810e-03  1.58882040e-03  1.55407084e-03
 -1.54498480e-03  7.34651504e-03  5.85607340e-03  2.38097522e-03
  6.99277198e-03  1.82161269e-03  8.40611072e-03  7.41582570e-03
  3.78230807e-03 -6.84829628e-03  6.17839383e-03 -6.61664069e-05
  4.84169883e-04 -1.48421011e-03 -9.40745946e-03  1.57583696e-03
  6.26216842e-03 -4.58621830e-03  4.52917287e-03 -6.01599606e-04
 -5.21705466e-03  5.08684219e-03  1.57258420e-03  1.02734394e-02
  3.55252266e-04 -2.60299808e-03 -4.14587207e-03 -7.97840659e-03
 -3.53418156e-03 -1.59191205e-03  4.64565286e-03]"
4,0.4900781178799271,"[-0.0048015  -0.00778377 -0.00760013  0.0050375   0.00088107  0.0018159
 -0.0073358  -0.00199706 -0.00495334  0.00122817 -0.00534268 -0.00315296
  0.00402416  0.00487194  0.00731922  0.005751   -0.0014166  -0.00215605
 -0.00478309  0.00462368  0.00423851  0.00756949  0.00459453  0.01187003
  0.00483675 -0.003156    0.00516848 -0.00051922 -0.00209437 -0.00198063
  0.00372493  0.00359336 -0.0053997   0.00618949 -0.00820218 -0.0070475
  0.00200175  0.0020205  -0.01872358 -0.00172836 -0.00102587 -0.00517417
  0.00541477  0.00178903  0.00892666  0.00014182  0.00060233 -0.00171182
  0.00605369 -0.00532616 -0.00293164  0.00618972 -0.00590796  0.00083435
  0.00315421 -0.00323869 -0.00109748 -0.00518732  0.00504885]"
5,0.4896571745410893,"[1.57570097 1.56939877 1.57296977 1.56800259 1.57122218 1.57601073
 1.57247004 1.56973318 1.57009002 1.57073575 1.57054806 1.5688815
 1.57643085 1.58268136 1.58120393 1.569382   1.57558024 1.57899123
 1.5747841  1.56777822 1.562591   1.56043657 1.57630648 1.57042282
 1.56767028 1.57561978 1.584153   1.57219507 1.56986382 1.56183563
 1.56883816 1.57364683 1.57119419 1.58231296 1.57434916 1.57544719
 1.57240274 1.57591705 1.56877695 1.58022513 1.57823539 1.5721972
 1.5777695  1.57728558 1.56802421 1.57611877 1.56978081 1.57785739
 1.56984485 1.57573274 1.57605268 1.5709816  1.56938956 1.57993175
 1.57537817 1.58298557 1.578953   1.58198163 1.58160762]"
6,0.4940620900478746,"[ 0.00676282  0.00254285  0.00604376  0.02214774  0.01179087  0.00216254
 -0.00569302  0.00242512  0.00759958 -0.0200436   0.00492891 -0.00604728
 -0.00868689  0.00469211 -0.02834828  0.00489826  0.00356244 -0.00955684
  0.01078244  0.00051888  0.00241548 -0.01594284  0.01764093  0.00586698
 -0.00817878  0.00062423 -0.00436229  0.00989124 -0.00888277 -0.00757928
 -0.00861746  0.01542969  0.00788559 -0.00304926  0.00653625  0.01125079
 -0.00047021 -0.00198979  0.00847742  0.00085494  0.01481469 -0.00629453
 -0.01026318 -0.00423279  0.00985478 -0.01645633 -0.00031722  0.01065996
 -0.01411014  0.00700551  0.00775918  0.02486391 -0.00304559 -0.0011742
 -0.00351933 -0.01557004  0.0013092  -0.00298961  0.00201912]"
7,0.48941054912184156,"[ 0.00732392 -0.00803879 -0.01565417  0.01325836  0.00742418  0.00391425
 -0.01458413  0.00054354 -0.00680409 -0.00036956  0.00124352  0.00744997
  0.01580966  0.01411301  0.01467134  0.00700872 -0.00514789  0.01914295
 -0.00886253  0.00395324 -0.00794793  0.01463178 -0.00199226  0.00582707
  0.01706708  0.00685183  0.00550188 -0.00621985  0.00580907  0.00281348
  0.00511753 -0.01120891  0.00641609  0.00721353 -0.01145978 -0.01043283
 -0.00272886 -0.01390593 -0.03315586 -0.00397322 -0.01866379 -0.0008224
  0.00325734  0.00108921  0.00320122 -0.0103815  -0.00112285 -0.00250627
  0.00835617 -0.0013504   0.01717968  0.01495016 -0.00749401 -0.00391885
 -0.00953281 -0.01521194  0.00646835 -0.00460414  0.01550741]"
8,0.4894989389903098,"[1.58586026 1.57532049 1.56945381 1.58648585 1.5693633  1.57269869
 1.5663181  1.58343293 1.57430789 1.5729712  1.56822104 1.58158643
 1.56971378 1.58367401 1.57857662 1.57239329 1.56467073 1.57973906
 1.56618789 1.58073936 1.56091937 1.5439709  1.58979818 1.56343843
 1.58104685 1.56686802 1.58744381 1.57089395 1.57855954 1.56985357
 1.56996975 1.59769252 1.56153134 1.59441976 1.5845792  1.58529245
 1.57603362 1.57682037 1.57687996 1.57863359 1.58349386 1.5807803
 1.59848149 1.59239938 1.57427441 1.58239753 1.56251779 1.59906551
 1.56746668 1.58962045 1.58435198 1.56093643 1.56440053 1.57445735
 1.59193824 1.59558031 1.58399613 1.59258964 1.58678978]"
9,0.48948159855285966,"[ 8.07719313e-03  2.09145118e-03  5.28003941e-03  2.54373321e-02
  1.23126150e-02  5.18445038e-04 -4.29338937e-03  3.08053682e-03
  4.00631115e-03 -2.59068618e-02  8.55744288e-03 -4.83188523e-03
 -1.48731345e-02  6.13610844e-03 -3.16729124e-02  6.33523965e-03
  7.35928538e-03 -1.07470558e-02  1.00013211e-02  1.31054427e-03
  3.38174159e-04 -1.11128859e-02  2.20197304e-02  4.06233052e-03
 -9.59915154e-03 -1.90304199e-04 -3.99839986e-03  1.16275776e-02
 -5.46454170e-03 -8.44962403e-03 -9.77410889e-03  1.68391691e-02
  6.92406013e-03 -2.60136713e-03  4.08536959e-03  1.40329841e-02
 -4.08909045e-03 -2.80165360e-03  1.11659285e-02  2.17636715e-03
  1.70801130e-02 -1.16146132e-02 -6.90858333e-03 -4.12200860e-03
  9.08509460e-03 -2.02117332e-02 -4.76693540e-03  1.02226418e-02
 -1.56215758e-02  4.55236893e-03  2.98581433e-03  2.94506919e-02
 -5.61624508e-03 -7.59525029e-04 -9.20512438e-03 -1.07654575e-02
 -2.14569324e-03 -1.36663154e-05  2.18284537e-03]"
