Iteration,Score,Parameter Values
10,0.4887148351432318,"[ 1.46572295e-02 -6.71707368e-03 -8.74317042e-03  1.23027448e-02
  5.85586374e-03  1.08434745e-02 -1.29742460e-02  4.28969222e-03
 -7.82946167e-03  3.18417520e-03 -2.92910674e-03  6.83664330e-03
  1.92662199e-02  9.55434265e-03  1.21636667e-02  5.08564746e-03
 -6.10465640e-03  2.61064597e-02 -6.39364142e-03  3.72263327e-03
 -1.21611291e-02  1.55914008e-02 -2.89931032e-03  7.45531998e-03
  1.96259321e-02  9.43594515e-03  8.62084732e-03 -6.61373719e-03
  8.15225044e-03  5.04191879e-03  7.77651482e-03 -8.45616820e-03
  1.07978171e-02  5.24572079e-03 -1.04269073e-02 -1.19604529e-02
 -6.04505742e-03 -1.72489753e-02 -3.58378518e-02 -3.80970662e-03
 -1.87166660e-02  8.00719281e-05  5.23293780e-03  3.24414056e-03
  2.68549425e-03 -9.62060083e-03 -2.55710737e-03 -4.73340928e-03
  7.61679086e-03 -5.16214804e-04  2.05244779e-02  1.63303657e-02
 -1.14714168e-02 -9.78374225e-04 -1.27880939e-02 -1.26768187e-02
  3.24010698e-03 -5.31847772e-03  1.97211389e-02]"
11,0.48863968154364446,"[1.58466016 1.57773911 1.56699701 1.58993688 1.57259235 1.56738132
 1.56808253 1.57821915 1.57687341 1.579372   1.57006415 1.58333393
 1.5703937  1.58559896 1.58383455 1.57151951 1.56536224 1.58117553
 1.56670959 1.58438589 1.56213943 1.54044417 1.59245783 1.55810992
 1.58605734 1.56908556 1.58873729 1.57005437 1.58091488 1.57157729
 1.5703037  1.59975947 1.55872556 1.59922638 1.58436343 1.58687745
 1.57579347 1.5717869  1.57762125 1.57549208 1.58009602 1.58262172
 1.60525197 1.59111159 1.58018383 1.58392976 1.5579394  1.60052842
 1.57102671 1.58542415 1.58313651 1.56180637 1.56172018 1.57361749
 1.5948228  1.59974781 1.58709373 1.59532018 1.58505985]"
12,0.4883325974759302,"[ 0.00087213 -0.00149866  0.00913045  0.022303    0.01262897  0.00322893
 -0.00656441  0.00623275  0.00879831 -0.02540962 -0.00297184 -0.0091921
 -0.01133016  0.00993458 -0.03165766  0.00327962  0.00948164 -0.00945416
  0.00581859 -0.00198143  0.00256668 -0.00578457  0.02486121 -0.00328402
 -0.010748   -0.00124086 -0.00762816  0.01449691 -0.00503929 -0.00528528
 -0.00677221  0.01642632  0.00235949 -0.00447543  0.00038179  0.01274396
 -0.00568121 -0.00105488  0.00881284  0.00048197  0.01026327 -0.01434802
 -0.00242287 -0.01179214  0.00749723 -0.01778856 -0.00853454  0.00840329
 -0.00988571  0.00061509  0.00190029  0.02803215  0.00252812  0.00153579
 -0.01373733 -0.01122115 -0.00535937 -0.00353589  0.00437582]"
13,0.48440465104823743,"[ 0.0139595  -0.00462966 -0.00744778  0.00837663  0.00525381  0.014401
 -0.00876781  0.00347826 -0.0114222   0.00324326 -0.00038056 -0.00340552
  0.02279072  0.00472874  0.00988595  0.00161979 -0.01006242  0.03169427
 -0.00711993 -0.00217529 -0.01506596  0.0193196   0.00080821  0.00643435
  0.02175319  0.01405619  0.00556449 -0.00799381  0.0070192  -0.0005209
  0.01293736 -0.00158222  0.01192646  0.00393771 -0.0173741  -0.02050074
  0.00090293 -0.01516821 -0.03996789 -0.00272423 -0.02489126 -0.00182041
  0.00389486 -0.00346043 -0.00109579 -0.00829935  0.00430849 -0.00454935
  0.01271012 -0.00194648  0.01997227  0.01455957 -0.01151751 -0.00353751
 -0.01091739 -0.00453086  0.00514204 -0.01086978  0.02564324]"
14,0.48465827239598974,"[1.58134697 1.58281541 1.5745053  1.59426065 1.57036691 1.56081595
 1.56882193 1.58195506 1.58270142 1.57539522 1.56782828 1.58484803
 1.57211204 1.58780992 1.58283271 1.56972951 1.57254391 1.58335445
 1.57362702 1.58361185 1.56022037 1.5344517  1.58710241 1.56096511
 1.58758285 1.56121368 1.58971856 1.5765931  1.58448679 1.56325542
 1.57365525 1.60086482 1.56062479 1.59837615 1.5807037  1.58104355
 1.57688489 1.5649166  1.58002563 1.57338348 1.57971767 1.58551962
 1.60219866 1.58954364 1.58204878 1.58629174 1.54987803 1.60069913
 1.57052571 1.58767623 1.5841416  1.56412635 1.5598217  1.57101295
 1.59472899 1.59970261 1.58528712 1.59314191 1.58123326]"
15,0.48463255075160827,"[ 0.16259247 -0.01631967 -0.18972149  0.13634853 -0.02023145 -0.06837741
  0.09152065  0.02840977 -0.00750637 -0.15214791 -0.02922608 -0.07248895
 -0.15824545  0.11156483 -0.02330034  0.04571739  0.00913481 -0.0165204
  0.07769514  0.04193432 -0.0454296  -0.16073805  0.06277781  0.1057611
 -0.05480548  0.03086286  0.02991822  0.13855394 -0.1032742  -0.09776861
 -0.11870083  0.03460239  0.10157281 -0.00705097  0.05884486  0.04786126
  0.01042822  0.11778508  0.06405354  0.02617619 -0.03435328  0.00245495
 -0.05349496 -0.10580465 -0.02270554  0.00426287  0.06945079  0.00764735
 -0.00033825 -0.04453287 -0.08154513  0.014686   -0.03101044 -0.11061509
 -0.02329576 -0.0650925  -0.11701803  0.10661622  0.02384353]"
16,0.48429968344279106,"[ 5.01879089e-03  8.79316875e-02 -9.01702449e-02 -2.77696926e-02
 -3.29900242e-02 -9.32700762e-02  7.07552728e-02 -4.32881327e-02
 -6.76035303e-02 -8.27364708e-02 -2.78445442e-02  1.70954195e-01
  8.88291179e-02  1.66292556e-01  1.99812823e-03 -1.20493602e-01
  3.38355702e-02  5.43239286e-02 -8.87759982e-02 -8.81656722e-02
 -8.63492916e-03  8.43275970e-02 -4.24720632e-02  9.44790815e-03
 -1.14642312e-01 -1.08195616e-01  6.87421174e-05  1.62355188e-01
  2.55461439e-02  3.46733673e-02  4.16006390e-02 -5.23914073e-02
 -6.43329292e-02  5.85811194e-02  1.19263736e-01  1.12262515e-01
 -1.65198954e-01  7.93094195e-03 -1.08247401e-02 -2.19657809e-01
 -4.44616992e-02 -4.05069289e-02 -1.38906030e-02  8.07689661e-02
 -5.23130736e-03  2.20532453e-02 -5.19434794e-02 -4.67252864e-02
 -1.58353942e-01 -7.01207759e-02  1.29689868e-01 -4.49503142e-02
  3.35938537e-02  5.76073007e-02  1.10461629e-02 -9.04155291e-02
  1.32242209e-01 -7.87921860e-02 -2.96957959e-03]"
17,0.48404006059748383,"[1.44084335 1.56435471 1.63082764 1.57471744 1.59977729 1.55065742
 1.60859276 1.60745281 1.55096856 1.66555372 1.49292725 1.55071602
 1.54839785 1.63821655 1.60618223 1.75561959 1.63978074 1.61422526
 1.48120816 1.52735434 1.54496199 1.61132526 1.63086512 1.55943009
 1.5785908  1.54079466 1.53978343 1.54386135 1.56512983 1.60337445
 1.61711312 1.56021686 1.63306311 1.59104903 1.58822191 1.58409198
 1.64851472 1.61966127 1.70761474 1.5741581  1.55989461 1.59035257
 1.56465734 1.60780567 1.63743929 1.74431495 1.50830017 1.71464329
 1.51883097 1.47977502 1.56122611 1.45696753 1.49302356 1.63033162
 1.67095187 1.587679   1.55292193 1.51349579 1.63532815]"
18,0.4829447252707628,"[ 0.21651064  0.2760519  -0.25242435  0.12511957 -0.12385469  0.15524144
 -0.0534648   0.17047944 -0.05575279 -0.03567108  0.07063993  0.07317311
 -0.2195801   0.1807204   0.14837903  0.12054992  0.06604256 -0.18386431
 -0.04192993 -0.22697033 -0.08317526 -0.06852793  0.09534917  0.05259812
 -0.03371282  0.02666963  0.21056506  0.26376309 -0.04384605  0.07253495
 -0.02000954 -0.1569376  -0.02647517  0.21071647 -0.25726733  0.04285084
 -0.04097344  0.02032933 -0.05116662  0.16549052 -0.03271289  0.0257982
 -0.3270047  -0.23922423  0.04886687  0.25129714 -0.09849267 -0.01101061
  0.06280469 -0.03367409  0.02390948 -0.15915808 -0.04751297  0.11867126
  0.09127355 -0.02615451 -0.0445926  -0.00326947 -0.16810207]"
19,0.4826471574911967,"[ 0.02851214  0.05754944 -0.07295805 -0.2823147   0.08954538 -0.1560221
  0.00229949 -0.16583659 -0.04779615 -0.16603258 -0.13246217  0.15804848
  0.08013567  0.17112448  0.15567688 -0.0156674   0.08479783  0.27450727
 -0.02469314 -0.07408365  0.04809418  0.09303336 -0.14122843 -0.00296826
 -0.12130607 -0.10767749 -0.08679619  0.24400326 -0.1115495  -0.11098153
 -0.08577343 -0.09966726 -0.05117491  0.04526749  0.22509127  0.15090472
 -0.13315375 -0.03565402  0.19336447 -0.15667853  0.08693815 -0.05186531
 -0.21401733  0.00295121  0.04833262  0.18051937 -0.14161897  0.04060211
  0.05401925 -0.0117793   0.10450792 -0.08063992 -0.06243587 -0.13932658
  0.06008831  0.04175472 -0.03296877  0.01665959 -0.05999291]"
20,0.4833489524246364,"[1.47130512 1.56127863 1.65415616 1.64614469 1.64767629 1.4236355
 1.71121602 1.6223946  1.60078283 1.66502445 1.36480975 1.77359307
 1.61653107 1.64907096 1.52190344 1.6328296  1.38143507 1.69029641
 1.61426316 1.41747946 1.68941045 1.55343226 1.50619351 1.62673344
 1.5473963  1.34012781 1.39985525 1.63174195 1.67332274 1.60602336
 1.54221504 1.46604558 1.78475722 1.64350397 1.788126   1.50921928
 1.61274185 1.62378684 1.66998091 1.52629921 1.58021886 1.60528957
 1.52042317 1.60080802 1.74204354 1.76350017 1.77720732 1.62919829
 1.55868323 1.46024933 1.60427437 1.47974266 1.6298762  1.63007238
 1.66635323 1.60896725 1.54102699 1.57081617 1.58510191]"
21,0.4815960178414115,"[ 0.21470601  0.00831305 -0.22110084  0.17038011 -0.04449565 -0.0523071
  0.06953836  0.00399304  0.00210046 -0.20119313  0.01995111 -0.06238108
 -0.21499977  0.1793708  -0.05141678  0.06640045 -0.02727886 -0.01371094
  0.10455196  0.02810279 -0.02599412 -0.15586506  0.01993753  0.14142102
 -0.1000492   0.09121052 -0.03719489  0.13602629 -0.07972305 -0.16407429
 -0.13201875  0.12030394  0.05301481 -0.03955168  0.00042474  0.05443976
 -0.01080473  0.10379486  0.06800498 -0.05338204 -0.02680988  0.03762333
  0.00388943 -0.05559919 -0.05581153 -0.01915928  0.07418541  0.00417029
  0.01380235 -0.08606642 -0.08242604  0.01818536 -0.05521538 -0.10915239
  0.00258117 -0.02401106 -0.11172182  0.14584053  0.03280919]"
22,0.48123349726477677,"[ 0.03616249  0.12953935 -0.12120886 -0.08113521 -0.05638581 -0.11069156
  0.10774143 -0.02374    -0.0606858  -0.13949448  0.00504695  0.22603689
  0.1296194   0.17711549  0.0692125  -0.1340918   0.03687204  0.05264308
 -0.05606286 -0.06140682 -0.01664024  0.10779851 -0.02917277 -0.00525263
 -0.10833241 -0.09915021 -0.01644201  0.16967887 -0.0256682   0.0550032
  0.12134885  0.00154852 -0.1190709   0.10499376  0.06883168  0.08813047
 -0.1708366  -0.00841603  0.01933354 -0.24951714 -0.07341802 -0.01243344
 -0.03022074  0.07049902  0.02837326  0.02940058 -0.00905392 -0.01150501
 -0.16794697 -0.00036947  0.1445369  -0.05556451  0.08896162  0.01026811
  0.01274538 -0.08957042  0.20312185 -0.05723147  0.04318824]"
23,0.481187460168283,"[1.44160057 1.5783146  1.68293872 1.55937738 1.53857627 1.59266735
 1.66465515 1.6419058  1.59319233 1.65261879 1.52887016 1.49451555
 1.55386773 1.60833677 1.58911795 1.69906054 1.62362519 1.56086617
 1.4597801  1.55205042 1.5378541  1.56191476 1.66736177 1.57377762
 1.57870659 1.47693155 1.51919955 1.54011919 1.54406377 1.66095544
 1.65963528 1.57596849 1.63491665 1.55360949 1.60624539 1.56898191
 1.62084878 1.64020917 1.7094102  1.58024303 1.55841767 1.57884036
 1.57396537 1.64860833 1.659215   1.71601332 1.48337892 1.76647109
 1.48118781 1.53166724 1.59860173 1.41540379 1.47634086 1.60303752
 1.63825545 1.56060445 1.54489778 1.46146959 1.62499917]"
24,0.4807996880595945,"[ 0.22571233 -0.02447817 -0.18804333  0.17812968 -0.04538539 -0.09919083
  0.10447786  0.02624724 -0.03044748 -0.18617438 -0.00669875 -0.08497098
 -0.20470326  0.14847454 -0.04942245  0.05301531  0.00052628 -0.03661388
  0.09374015  0.03202495 -0.0407182  -0.14865242  0.02297583  0.11724018
 -0.09252841  0.07924739 -0.04491068  0.10220754 -0.10183963 -0.15496164
 -0.15343524  0.09825608  0.04137748 -0.05074425  0.01896732  0.02357138
 -0.00176981  0.1409376   0.07674596 -0.04012098 -0.06335071  0.01243386
  0.01389094 -0.06858933 -0.04052742 -0.04218939  0.08072598  0.00202453
  0.02784505 -0.08184592 -0.06967342  0.03193217 -0.05904358 -0.08992052
 -0.00337234 -0.00815127 -0.11757763  0.13801964  0.04511734]"
25,0.4803761965269182,"[ 0.02978181  0.10333547 -0.10965529 -0.05108753 -0.0545989  -0.10498867
  0.11654677 -0.03157811 -0.04078062 -0.10741142 -0.0261784   0.18863454
  0.15865737  0.16711138  0.03776766 -0.14166674  0.04367882  0.04329895
 -0.06208841 -0.07558089  0.01251765  0.10082229 -0.05432343  0.0018435
 -0.10076525 -0.09803879 -0.00252484  0.16665777 -0.01802069  0.05872068
  0.09902654  0.02736146 -0.10945475  0.0954683   0.04939803  0.08664738
 -0.17210815 -0.01244349  0.01418361 -0.26948416 -0.05127562 -0.00604819
 -0.02751343  0.0768403  -0.00220181  0.0622236  -0.02622417 -0.05593674
 -0.14894346 -0.05465706  0.14437039 -0.05756841  0.09188066  0.01024362
 -0.00945648 -0.10022015  0.19398798 -0.07539682  0.02230787]"
26,0.4802724564049193,"[1.4161516  1.58857928 1.67032538 1.55892108 1.54214116 1.58762327
 1.67059922 1.60636666 1.56222818 1.66982367 1.51480595 1.49251598
 1.5571565  1.62207006 1.59574336 1.6789871  1.6112439  1.56988849
 1.47722152 1.55710095 1.54450197 1.57083262 1.64651686 1.56472084
 1.57758186 1.49112767 1.53078216 1.54508551 1.57398101 1.66730732
 1.64923136 1.59170774 1.6276289  1.55569267 1.58995265 1.56532595
 1.64179021 1.62563269 1.73971453 1.55110809 1.56104356 1.58572106
 1.58901634 1.63231802 1.65047637 1.69631647 1.47702964 1.76708024
 1.50387917 1.4990573  1.5971947  1.41817983 1.45835174 1.59256286
 1.68186812 1.58936214 1.54878207 1.48214805 1.61632458]"
27,0.47991870923929997,"[ 0.19633832  0.01096963 -0.20484341  0.17470356 -0.04913693 -0.05989775
  0.07129949  0.01895127  0.00218492 -0.18961619  0.013962   -0.06770056
 -0.21954603  0.17336367 -0.06017129  0.07811174 -0.02255268 -0.02126415
  0.12087799  0.02972001 -0.02397906 -0.14582859  0.01589864  0.13386583
 -0.1004303   0.0849103  -0.04876141  0.14436093 -0.08234301 -0.15576621
 -0.13485893  0.11643936  0.05809157 -0.02964979  0.01146569  0.05089306
 -0.00608485  0.11842483  0.07217614 -0.07183806 -0.01689769  0.0446938
  0.00483968 -0.07598369 -0.06261915 -0.03361914  0.05947513  0.0092793
  0.02401157 -0.07967031 -0.08163659  0.01922638 -0.04349114 -0.09683432
 -0.00477958 -0.02918715 -0.10556648  0.13795728  0.02812028]"
28,0.48000789804688726,"[ 0.04635979  0.13236554 -0.13141662 -0.07522637 -0.06294444 -0.11191768
  0.1025241  -0.01726816 -0.05884321 -0.14143632  0.02835352  0.21410118
  0.13500656  0.18114339  0.0716297  -0.14575771  0.0479911   0.04902919
 -0.0569107  -0.06564414 -0.01627157  0.09670252 -0.03344245 -0.01226752
 -0.11118187 -0.11644929 -0.00342672  0.17642918 -0.01330852  0.04957071
  0.10769084 -0.00685345 -0.13146232  0.09047635  0.07407567  0.08485673
 -0.18461191  0.00081145  0.03269219 -0.25088839 -0.07705803 -0.02335651
 -0.02131392  0.07268788  0.04108767  0.02766956  0.00406409 -0.02081937
 -0.17916967  0.00174574  0.12858097 -0.06470052  0.08563958  0.0139284
  0.01194292 -0.08891043  0.21181554 -0.05040412  0.05764313]"
29,0.48001345030024517,"[1.4405953  1.58769793 1.69974738 1.5585218  1.5326287  1.58433431
 1.68014148 1.62111002 1.585203   1.66778008 1.53024877 1.50046178
 1.54572846 1.60346554 1.58901172 1.70892058 1.636113   1.58410629
 1.45087752 1.55052421 1.52996615 1.55565925 1.6730817  1.58516005
 1.56385476 1.48792495 1.50663915 1.5339451  1.54852864 1.65781143
 1.66212723 1.56513196 1.64001752 1.55683452 1.60729419 1.58561123
 1.62030657 1.6422598  1.71394644 1.57375294 1.57072879 1.56698942
 1.55958692 1.65288793 1.65688462 1.73326095 1.48061737 1.76636901
 1.49167677 1.51568895 1.58814947 1.43099017 1.4620582  1.60152891
 1.64480443 1.5525381  1.54095347 1.46064631 1.61300605]"
30,0.479497368677996,"[ 0.23144643  0.01601437 -0.22826554  0.18427528 -0.07691689 -0.05863431
  0.05522646  0.0155409  -0.042543   -0.19951123  0.01865297 -0.05713978
 -0.21416961  0.18574559 -0.05845833  0.08739044 -0.03777918 -0.01853629
  0.11665663  0.01999441 -0.03150735 -0.1635442   0.02759092  0.14053675
 -0.08968442  0.04745664 -0.01385372  0.1455402  -0.09969237 -0.16559052
 -0.12869443  0.11502708  0.08055143 -0.04473043  0.00741272  0.05674083
 -0.01807145  0.1105868   0.07013101 -0.07919839 -0.02560127  0.07398337
 -0.03318052 -0.03056079 -0.04986188 -0.0270588   0.08276732 -0.02133346
  0.03115641 -0.07067802 -0.07346767  0.02081976 -0.01897775 -0.130688
 -0.00978902 -0.02516593 -0.13280282  0.18117123  0.0232932 ]"
31,0.47961722220566566,"[ 0.02107562  0.11550126 -0.12430121 -0.080767   -0.07921286 -0.12025455
  0.14430623 -0.01614167 -0.07042261 -0.17062981  0.05075326  0.22923806
  0.14204841  0.15767888  0.0416372  -0.13333231  0.08240089  0.02448463
 -0.03976861 -0.06957905 -0.01778411  0.10879057 -0.03952903  0.00647315
 -0.14440696 -0.11587964 -0.03588474  0.17027315 -0.0543798   0.02418246
  0.14918532 -0.03457445 -0.1459093   0.10495955  0.06737016  0.10170288
 -0.15843207 -0.02559456  0.02517431 -0.25750804 -0.07038044 -0.04216383
 -0.02925663  0.05677052  0.01111617  0.03082263 -0.02298676  0.00700832
 -0.14226385 -0.00053548  0.15693378 -0.05543764  0.07986271  0.01252583
  0.02832418 -0.08963387  0.20699226 -0.04844902  0.06177871]"
